# pulsewidth	time	voltage
2e-05	0.0008409400906	0.5179092466
2e-05	0.0008409800906	0.5279835872
2e-05	0.0008410200906	0.5155674732
2e-05	0.0008410600906	0.5289580164
2e-05	0.0008411000906	0.523865838
2e-05	0.0008411400906	0.5286436844
2e-05	0.0008411800906	0.5277478382
2e-05	0.0008412200906	0.5179878296
2e-05	0.0008412600906	0.5220269958
2e-05	0.0008413000906	0.511213975
2e-05	0.0008413400906	0.5116697564
2e-05	0.0008413800906	0.5212568824
2e-05	0.0008414200906	0.5212568824
2e-05	0.0008414600906	0.5197323722
2e-05	0.0008415000906	0.5214769148
2e-05	0.0008415400906	0.5244002024
2e-05	0.0008415800906	0.5178620968
2e-05	0.0008416200906	0.5284865184
2e-05	0.0008416600906	0.5170919834
2e-05	0.0008417000906	0.5187265098
2e-05	0.0008417400906	0.5111668252
2e-05	0.0008417800906	0.51475021
2e-05	0.0008418200906	0.527166324
2e-05	0.0008418600906	0.5363133852
2e-05	0.0008419000906	0.5114340074
2e-05	0.0008419400906	0.5212883156
2e-05	0.0008419800906	0.5282979192
2e-05	0.0008420200906	0.5209425504
2e-05	0.0008420600906	0.5251388826
2e-05	0.0008421000906	0.5135400318
2e-05	0.0008421400906	0.5208954006
2e-05	0.0008421800906	0.5214454816
2e-05	0.0008422200906	0.5167776514
2e-05	0.0008422600906	0.5245259352
2e-05	0.0008423000906	0.5207068014
2e-05	0.0008423400906	0.514514461
2e-05	0.0008423800906	0.5103967118
2e-05	0.0008424200906	0.5288480002
2e-05	0.0008424600906	0.5286436844
2e-05	0.0008425000906	0.5228914088
2e-05	0.0008425400906	0.5288480002
2e-05	0.0008425800906	0.5243216194
2e-05	0.0008426200906	0.5168876676
2e-05	0.0008426600906	0.5334372474
2e-05	0.0008427000906	0.523001425
2e-05	0.0008427400906	0.5167776514
2e-05	0.0008427800906	0.5118269224
2e-05	0.0008428200906	0.5248717004
2e-05	0.0008428600906	0.5284865184
2e-05	0.0008429000906	0.5188050928
2e-05	0.0008429400906	0.5241644534
2e-05	0.0008429800906	0.511213975
2e-05	0.0008430200906	0.5283293524
2e-05	0.0008430600906	0.5221527286
2e-05	0.0008431000906	0.5231900242
2e-05	0.0008431400906	0.5239287044
2e-05	0.0008431800906	0.5216026476
2e-05	0.0008432200906	0.5207853844
2e-05	0.0008432600906	0.5144044448
2e-05	0.0008433000906	0.5237401052
2e-05	0.0008433400906	0.5233471902
2e-05	0.0008433800906	0.5256889636
2e-05	0.0008434200906	0.5211311496
2e-05	0.0008434600906	0.526773409
2e-05	0.0008435000906	0.5254532146
2e-05	0.0008435400906	0.5121098212
2e-05	0.0008435800906	0.5196537892
2e-05	0.0008436200906	0.5160389712
2e-05	0.0008436600906	0.5121726876
2e-05	0.0008437000906	0.5272134738
2e-05	0.0008437400906	0.5217598136
2e-05	0.0008437800906	0.5211782994
2e-05	0.0008438200906	0.5204710524
2e-05	0.0008438600906	0.523001425
2e-05	0.0008439000906	0.5134614488
2e-05	0.0008439400906	0.5159603882
2e-05	0.0008439800906	0.5132728496
2e-05	0.0008440200906	0.5206282184
2e-05	0.0008440600906	0.5250288664
2e-05	0.0008441000906	0.5235829392
2e-05	0.0008441400906	0.5213354654
2e-05	0.0008441800906	0.5194180402
2e-05	0.0008442200906	0.5208954006
2e-05	0.0008442600906	0.5165733356
2e-05	0.0008443000906	0.5244002024
2e-05	0.0008443400906	0.5217126638
2e-05	0.0008443800906	0.52732349
2e-05	0.0008444200906	0.5122198374
2e-05	0.0008444600906	0.522844259
2e-05	0.0008445000906	0.51475021
2e-05	0.0008445400906	0.523551506
2e-05	0.0008445800906	0.5198423884
2e-05	0.0008446200906	0.5171705664
2e-05	0.0008446600906	0.5265848098
2e-05	0.0008447000906	0.5219955626
2e-05	0.0008447400906	0.5252174656
2e-05	0.0008447800906	0.5242430364
2e-05	0.0008448200906	0.5269777248
2e-05	0.0008448600906	0.5200467042
2e-05	0.0008449000906	0.5240858704
2e-05	0.0008449400906	0.527794988
2e-05	0.0008449800906	0.518443611
2e-05	0.0008450200906	0.5231900242
2e-05	0.0008450600906	0.5282979192
2e-05	0.0008451000906	0.523865838
2e-05	0.0008451400906	0.5244473522
2e-05	0.0008451800906	0.5260347288
2e-05	0.0008452200906	0.5304039436
2e-05	0.0008452600906	0.5200781374
2e-05	0.0008453000906	0.5207382346
2e-05	0.0008453400906	0.5153317242
2e-05	0.0008453800906	0.5175163316
2e-05	0.0008454200906	0.5283293524
2e-05	0.0008454600906	0.5190251252
2e-05	0.0008455000906	0.5203924694
2e-05	0.0008455400906	0.519072275
2e-05	0.0008455800906	0.5253746316
2e-05	0.0008456200906	0.5205810686
2e-05	0.0008456600906	0.518993692
2e-05	0.0008457000906	0.523315757
2e-05	0.0008457400906	0.5238186882
2e-05	0.0008457800906	0.5218383966
2e-05	0.0008458200906	0.5282979192
2e-05	0.0008458600906	0.5290365994
2e-05	0.0008459000906	0.5209425504
2e-05	0.0008459400906	0.528030737
2e-05	0.0008459800906	0.5122984204
2e-05	0.0008460200906	0.5253431984
2e-05	0.0008460600906	0.5111668252
2e-05	0.0008461000906	0.5263490608
2e-05	0.0008461400906	0.527716405
2e-05	0.0008461800906	0.5164161696
2e-05	0.0008462200906	0.5273549232
2e-05	0.0008462600906	0.523865838
2e-05	0.0008463000906	0.5136971978
2e-05	0.0008463400906	0.518915109
2e-05	0.0008463800906	0.5227342428
2e-05	0.0008464200906	0.5213983318
2e-05	0.0008464600906	0.5215240646
2e-05	0.0008465000906	0.519072275
2e-05	0.0008465400906	0.519700939
2e-05	0.0008465800906	0.5251074494
2e-05	0.0008466200906	0.5201567204
2e-05	0.0008466600906	0.5252174656
2e-05	0.0008467000906	0.5182550118
2e-05	0.0008467400906	0.5124555864
2e-05	0.0008467800906	0.523472923
2e-05	0.0008468200906	0.5208639674
2e-05	0.0008468600906	0.5272134738
2e-05	0.0008469000906	0.5384194096
2e-05	0.0008469400906	0.5274335062
2e-05	0.0008469800906	0.5260347288
2e-05	0.0008470200906	0.5053673998
2e-05	0.0008470600906	0.526851992
2e-05	0.0008471000906	0.526930575
2e-05	0.0008471400906	0.5131942666
2e-05	0.0008471800906	0.5146401938
2e-05	0.0008472200906	0.5154103072
2e-05	0.0008472600906	0.5154103072
2e-05	0.0008473000906	0.5111668252
2e-05	0.0008473400906	0.5244002024
2e-05	0.0008473800906	0.5195752062
2e-05	0.0008474200906	0.5151745582
2e-05	0.0008474600906	0.5226556598
2e-05	0.0008475000906	0.5199209714
2e-05	0.0008475400906	0.5141686958
2e-05	0.0008475800906	0.5106167442
2e-05	0.0008476200906	0.5206596516
2e-05	0.0008476600906	0.5114025742
2e-05	0.0008477000906	0.5250602996
2e-05	0.0008477400906	0.5123770034
2e-05	0.0008477800906	0.5260347288
2e-05	0.0008478200906	0.5169662506
2e-05	0.0008478600906	0.5231900242
2e-05	0.0008479000906	0.5283293524
2e-05	0.0008479400906	0.5184907608
2e-05	0.0008479800906	0.5204710524
2e-05	0.0008480200906	0.5219955626
2e-05	0.0008480600906	0.5202353034
2e-05	0.0008481000906	0.5216026476
2e-05	0.0008481400906	0.5242901862
2e-05	0.0008481800906	0.518050696
2e-05	0.0008482200906	0.519229441
2e-05	0.0008482600906	0.518365028
2e-05	0.0008483000906	0.510270979
2e-05	0.0008483400906	0.5217126638
2e-05	0.0008483800906	0.519072275
2e-05	0.0008484200906	0.5305139598
2e-05	0.0008484600906	0.5275120892
2e-05	0.0008485000906	0.5164161696
2e-05	0.0008485400906	0.5103181288
2e-05	0.0008485800906	0.5288008504
2e-05	0.0008486200906	0.5195752062
2e-05	0.0008486600906	0.5136657646
2e-05	0.0008487000906	0.5261133118
2e-05	0.0008487400906	0.5233471902
2e-05	0.0008487800906	0.5274335062
2e-05	0.0008488200906	0.5202353034
2e-05	0.0008488600906	0.5288480002
2e-05	0.0008489000906	0.5126913354
2e-05	0.0008489400906	0.51475021
2e-05	0.0008489800906	0.523787255
2e-05	0.0008490200906	0.515221708
2e-05	0.0008490600906	0.5177520806
2e-05	0.0008491000906	0.5121412544
2e-05	0.0008491400906	0.5172334328
2e-05	0.0008491800906	0.5263490608
2e-05	0.0008492200906	0.519308024
2e-05	0.0008492600906	0.5099252138
2e-05	0.0008493000906	0.5158818052
2e-05	0.0008493400906	0.5208639674
2e-05	0.0008493800906	0.51946519
2e-05	0.0008494200906	0.5119840884
2e-05	0.0008494600906	0.527402073
2e-05	0.0008495000906	0.5198895382
2e-05	0.0008495400906	0.5152531412
2e-05	0.0008495800906	0.5159603882
2e-05	0.0008496200906	0.5245573684
2e-05	0.0008496600906	0.5258775628
2e-05	0.0008497000906	0.5249502834
2e-05	0.0008497400906	0.5252960486
2e-05	0.0008497800906	0.5109310762
2e-05	0.0008498200906	0.5100823798
2e-05	0.0008498600906	0.5123298536
2e-05	0.0008499000906	0.5251388826
2e-05	0.0008499400906	0.515457457
2e-05	0.0008499800906	0.5257675466
2e-05	0.0008500200906	0.515221708
2e-05	0.0008500600906	0.5210211334
2e-05	0.0008501000906	0.5130685338
2e-05	0.0008501400906	0.5229699918
2e-05	0.0008501800906	0.5106167442
2e-05	0.0008502200906	0.5199209714
2e-05	0.0008502600906	0.5147816432
2e-05	0.0008503000906	0.510899643
2e-05	0.0008503400906	0.5275906722
2e-05	0.0008503800906	0.5102395458
